indice_tiempo,total_recaudacion,subtotal_dgi,subtotal_dga,seguridad_social,total_recaudacion_var_ia,subtotal_dgi_var_ia,subtotal_dga_var_ia,seguridad_social_var_ia
2001-06-01,4589.573837930001,3267.1578372199997,652.82974742,669.6556255099999,-0.048660538137592524,-0.0268124679052959,-0.11531500323291544,-0.08163170155772814
2001-07-01,3858.1962304849994,2334.80733884,691.4875849599999,831.9353195600003,-0.0870084381620333,-0.05837117419900151,-0.08061634534594342,-0.16322973760109316
2001-08-01,4063.65065219,2793.4390857599997,600.73739674,669.44298568,-0.03444609457980763,0.02294141855052323,-0.23712923329034852,-0.03042487936363314
2001-09-01,3502.57517458,2427.93074115,429.15425816,645.5459778000001,-0.13982171902076324,-0.03718324808698248,-0.3999039496477407,-0.22691620303079074
2001-10-01,3569.24094382,2421.1916914000003,499.66786478,648.4358917800001,-0.11275934859100212,-0.05537523940175193,-0.353196602985268,-0.05646371336511846
2001-11-01,3467.62333744,2411.42370099,460.76761654999996,595.41244372,-0.11557442306877075,-0.030597112952397976,-0.3925281523791344,-0.11759956099426183
2001-12-01,2818.7015967700004,2089.96775562,294.96386395,433.72498971999994,-0.28301004246116856,-0.19375152519079897,-0.5677879833327457,-0.339473806637685
2002-01-01,3411.2354418699992,2365.87070209,296.07232902,749.2817957099998,-0.19146973681252,-0.08844122352451722,-0.5564795073290633,-0.21630996848352368
2002-02-01,3001.23548987,2124.1566449499996,282.51172231,594.57982588,-0.20271038566621757,-0.15348991432575754,-0.5079722747915058,-0.1266566367664793
2002-03-01,3076.65926003,2125.9471153900004,422.31002692,528.4465425399999,-0.07376027021337173,0.07353325858109838,-0.3861012575123498,-0.19126581050868374
2002-04-01,2884.3195838899996,1729.34357928,627.01381307,527.9602716600001,-0.18482913539194357,-0.24017264414464345,-0.04102073192443889,-0.13235346120252023
2002-05-01,4826.59616159,3053.60343557,1064.14337403,708.8921198199997,0.02900921983678839,-0.08613903392313893,0.5242666866061327,0.08899173043651754
2002-06-01,4614.909506739999,2777.88434083,1181.03985998,655.9064630299999,0.005520266086714853,-0.14975508401097604,0.8091085227771866,-0.020531691150251774
2002-07-01,4986.77851925,2663.8705035899998,1407.9553163499997,914.9526993100001,0.2925155231472325,0.14093803770271163,1.0361252276589243,0.09978826213786252
2002-08-01,4731.40867302,2737.34527595,1291.8056595399999,702.4168704100001,0.16432466222708597,-0.020080555934062327,1.150366643645285,0.04925570277879032
2002-09-01,4343.8010918499995,2561.4623952600004,1102.68912478,679.8196909700001,0.24017355098477577,0.05499813147336852,1.5694470084201946,0.05309259812415501
2002-10-01,4763.644598455,2712.95943498,1309.9146991100001,740.8265087599997,0.3346380010301806,0.12050584206791637,1.6215708302288876,0.14248226871955083
2002-11-01,5020.7931810499995,3001.3678341999994,1332.4577610799997,686.9437723699999,0.44790615717699,0.24464557305619938,1.8918216324679769,0.153727604478894
2002-12-01,4814.02109816,2966.78466833,1154.36155215,693.01896751,0.7078860364915789,0.4195360958810044,2.9135694003034844,0.5978303854647449
2003-01-01,5600.40514198,3172.73065248,1421.60030813,1006.1544256699998,0.6417527424931782,0.3410414397021879,3.801530466678531,0.3428251312533148
2003-02-01,4654.40699369,2681.25232163,1260.08551446,713.0257524000001,0.5508303195133839,0.26226675796460097,3.4602946177125657,0.199209460806538
2003-03-01,4823.289831710001,2704.8912466199995,1439.6181139499997,678.87058818,0.5677036109819225,0.2723229223525596,2.408912936425999,0.28465328757187214
2003-04-01,5456.798713810001,3145.9552641000005,1650.4814123100002,660.36930089,0.8918842226389392,0.8191615025452585,1.6322887596827793,0.25079354704792944
2003-05-01,7148.9242186599995,4679.83753813,1761.74453411,707.3772388100001,0.48115234407864116,0.5325623110115607,0.6555518524145163,-0.0021369697414386213
2003-06-01,6481.36387604,3957.46708196,1814.5885295100002,709.30826457,0.40444007982693364,0.42463349671986506,0.5364329274549029,0.08141679423817116
2003-07-01,6507.436785930002,3513.1893412599998,1870.4709340199997,1123.7765106499999,0.30493799971463464,0.31882887570000285,0.3285016309104405,0.2282345431599706
2003-08-01,6055.293235089999,3860.7224323,1432.93250507,761.6382977199997,0.2798076965152494,0.4103892797959623,0.10924773745011618,0.08431094098783842
2003-09-01,6116.044601689999,3245.5710034100002,2083.4728157600002,787.0007825199998,0.407993706978238,0.2670773576125678,0.8894471423899086,0.15766105773880779
2003-10-01,6284.55581359,3353.7841054399996,2096.62525197,834.1464561800002,0.3192747031607437,0.23620871812435484,0.6005815137386561,0.12596734365809903
2003-11-01,6393.79526163,3664.5905235099995,1893.9992004599999,835.2055376599999,0.2734631822243003,0.22097347807646472,0.4214328257016213,0.21582809431183492
2003-12-01,6752.259815259999,3968.4097999699998,1932.4297882800001,851.4202270100001,0.4026236440552424,0.33761302002541815,0.6740247322694062,0.22856699012024428
2004-01-01,7159.96339146,4110.24556545,1799.91110372,1249.8297337200001,0.2784723979680914,0.29549149160745203,0.26611614630812586,0.2421847997018316
2004-02-01,6360.17949957,3731.2448292999998,1666.5652869199998,962.4917848,0.3664854638179522,0.39160525818460945,0.3225811008820252,0.3498695966594654
2004-03-01,6612.900034764999,3729.2443997299997,1986.44692464,897.1308790900001,0.3710351783733734,0.37870400682098393,0.37984296348537927,0.3215050036195253
2004-04-01,7047.92983054,3857.26267259,2268.15742968,922.5097282699998,0.2915869175645389,0.22610220069149367,0.37423991131502987,0.39696034783371226
2004-05-01,12367.791487659999,8911.255696619999,2524.6882001100003,931.84759093,0.7300213443832293,0.9041805669563512,0.43306146335536955,0.31732764330616536
2004-06-01,9469.87981613,6057.46471382,2470.92317166,941.4919306500001,0.4610936829419199,0.5306418444850189,0.3616988818546276,0.3273381654741545
2004-07-01,8704.325907749999,4727.83259429,2566.70397763,1409.7893358299996,0.33759669038506557,0.3457380559495751,0.3722233962297732,0.25451041418775344
2004-08-01,8469.467867369998,4976.65787786,2495.46770304,997.3422864699999,0.3986883109623869,0.28904834914412336,0.7415109882779121,0.3094697173915639
2004-09-01,7975.691837195,4346.54129976,2431.8452063100003,1197.29995053,0.3040604437369765,0.3392223726405157,0.16720755265670317,0.5213453113683191
2004-10-01,8043.682640204999,4612.52684642,2378.31456966,1052.8529671299998,0.2799126746254661,0.37532014626053556,0.13435367976481394,0.26219197999302524
2004-11-01,8102.753884785003,4509.57994169,2538.54024036,1054.5739747600003,0.2672839140487788,0.23058221996673645,0.3403069229086575,0.262652038580355
2004-12-01,7992.899674560001,4425.02122366,2522.67649154,1045.23928454,0.18373698483819823,0.11506156034929971,0.30544276787689206,0.2276420636735983
2005-01-01,8802.493186605001,4975.179617809999,2270.90806238,1556.3870832100004,0.22940477560319894,0.21043366839939748,0.26167790047328343,0.24527928982579184
2005-02-01,8250.376845534998,4844.3420146299995,2168.7545767700003,1237.1789288399998,0.29719245283765816,0.2983179170097028,0.30133190328121073,0.2853916764568314
2005-03-01,8357.598857530002,4739.461201090001,2555.00655984,1063.03712548,0.26383263221776554,0.2708904788951729,0.28621939410892594,0.1849298137617177
2005-04-01,9282.195029914998,5261.359567059999,2903.0743634999994,1117.8470485999994,0.31701013674873835,0.3640138133313082,0.2799263073681688,0.21174553974224164
2005-05-01,12045.60961182,7756.445642389999,3093.44273036,1195.74608284,-0.026050073383065753,-0.12959004808581742,0.22527713728183119,0.28319919961012596
2005-06-01,11054.151061175,6819.403070260001,3020.14900321,1214.63725552,0.1672958132316018,0.12578502598647456,0.22227555994022352,0.2901196664334893
2005-07-01,10011.58545391,5395.441386969999,2885.3489188099998,1730.8197141700005,0.1501850413248047,0.1412082131432273,0.12414557500870238,0.22771514167469387
2005-08-01,10258.157585410001,5669.271618069999,3238.6736175,1350.2609194099998,0.21119269192002266,0.1391724641734522,0.29782229341402444,0.35385908902862484
2005-09-01,9886.9324624,5682.65820893,2855.23039446,1348.9839760700002,0.23963320853143344,0.30739772546134003,0.17410038560490038,0.12668840875910448
2005-10-01,9890.296574985,5553.7649004,2913.2831123099995,1423.51491699,0.22957319642995477,0.20406126301693828,0.2249359901648662,0.3520548086314441
