fecha,anio,mes,pib_mensual
2023-03-01,2023,3,234662.50144052575
2023-04-01,2023,4,245980.63645802406
2023-05-01,2023,5,245980.63645802406
2023-06-01,2023,6,245980.63645802406
2023-07-01,2023,7,242879.52818956075
2023-08-01,2023,8,242879.52818956075
2023-09-01,2023,9,242879.52818956075
2023-10-01,2023,10,233503.3115241078
2023-11-01,2023,11,233503.3115241078
2023-12-01,2023,12,233503.3115241078
2024-01-01,2024,1,223019.2444617223
2024-02-01,2024,2,223019.2444617223
2024-03-01,2024,3,223019.2444617223
2024-04-01,2024,4,243315.92842485104
2024-05-01,2024,5,243315.92842485104
2024-06-01,2024,6,243315.92842485104
2024-07-01,2024,7,238174.7885166531
2024-08-01,2024,8,238174.7885166531
2024-09-01,2024,9,238174.7885166531
2024-10-01,2024,10,239663.82031219316
2024-11-01,2024,11,239663.82031219316
2024-12-01,2024,12,239663.82031219316
2025-01-01,2025,1,236037.9352233921
2025-02-01,2025,2,236037.9352233921
2025-03-01,2025,3,236037.9352233921
2025-04-01,2025,4,258842.9253635951
2025-05-01,2025,5,258842.9253635951
2025-06-01,2025,6,258842.9253635951
2025-07-01,2025,7,245956.01659757597
2025-08-01,2025,8,245956.01659757597
2025-09-01,2025,9,245956.01659757597
